"y_total_m_ha";"hoursWorkUsual";"age";"sex";"oficio";"relab";"college";"ocu";"clase";"cotPension";"cuentaPropia";"depto";"directorio";"dominio";"dsi";"estrato1";"formal";"fweight";"inac";"informal";"maxEducLevel";"mes";"pea";"pet";"sizeFirm";"wap";"regSalud";"age2";"ln_wage"
"80";43668.984375;48;43;0;2;1;0;1;1;1;0;11;4772550;"BOGOTA";0;6;1;350;0;0;7;11;1;1;5;1;1;1849;10.6843933893967
"81";77777.78125;48;40;1;2;1;0;1;1;1;0;11;4772550;"BOGOTA";0;6;1;350;0;0;7;11;1;1;5;1;1;1600;11.2616110813322
"82";3370.37036132812;60;20;1;56;1;1;1;1;1;0;11;4772551;"BOGOTA";0;3;1;234;0;0;6;11;1;1;2;1;1;400;8.12277791681179
"83";4184.4443359375;50;44;0;39;1;0;1;1;1;0;11;4772551;"BOGOTA";0;3;1;234;0;0;5;11;1;1;2;1;1;1936;8.3391291989439
"84";4827.5146484375;24;33;1;53;1;1;1;1;1;0;11;4772553;"BOGOTA";0;3;1;199;0;0;6;11;1;1;4;1;1;1089;8.48208704867145
"85";53030.3046875;66;56;1;21;1;0;1;1;1;0;11;4772555;"BOGOTA";0;6;1;356;0;0;7;11;1;1;5;1;1;3136;10.8786188156832
"86";29696.96875;55;51;0;21;1;0;1;1;1;0;11;4772555;"BOGOTA";0;6;1;356;0;0;7;11;1;1;5;1;1;2601;10.2988002572925
"87";3111.11108398438;60;37;0;41;4;1;1;1;2;1;11;4772561;"BOGOTA";0;3;0;302;0;1;6;11;1;1;1;1;3;1369;8.04273520310181
"88";4216.8671875;83;28;1;58;2;0;1;1;1;0;11;4772562;"BOGOTA";0;3;1;263;0;0;7;11;1;1;5;1;2;784;8.34684775870471
"89";4692.16162109375;48;30;1;97;1;1;1;1;1;0;11;4772563;"BOGOTA";0;2;1;274;0;0;6;11;1;1;5;1;1;900;8.45364865527852
